Date1,State,beds_icu_covid,icu_covid,icu_usage,vent_covid,vent,vent_usage,Date
2021-08-31,Pahang,61,40,65.57,25,54,46.3,
2021-08-31,Perak,90,108,120,68,104,65.38,
2021-08-31,Perlis,11,10,90.91,5,19,26.32,
2021-08-31,Pulau Pinang,69,66,95.65,53,72,73.61,
2021-08-31,Sabah,147,172,117.01,67,96,69.79,
2021-08-31,Sarawak,120,58,48.33,23,137,16.79,
2021-08-31,Selangor,350,351,100.29,168,443,37.92,
2021-08-31,Terengganu,39,29,74.36,22,58,37.93,
2021-08-31,W.P. Kuala Lumpur,228,173,75.88,116,218,53.21,
2021-08-31,W.P. Labuan,18,0,0,0,11,0,
2021-08-31,W.P. Putrajaya,20,15,75,12,28,42.86,
